No.,日付,概要,分類,優先度,状況,内容,対応
,2026.05.31,ランドスケープのデフォルト設定をカメラ設定に,設定,3,未,"ランドスケープで撮るかが毎回撮影計画に入力するようになっている。カメラ設定でデフォルトどっちにするか入れられると良い。
ポートレートを多用する人にとっては毎回設定するのはうっとおしい。
→6/3追記
カメラ設定ではなく撮影計画ひな形を登録できるようにしてそこに入れるのが良い。",
,2026.05.31,「月の影響の対処」も複数登録,撮影制御方法,3,済,「月の影響の対処」が一つしかない。複数登録できるようにしておいた方が使い勝手が良い。月食撮る人とかは別の設定が欲しいでしょう。,
,2026.05.31,撮影計画で変更した撮影制御方法の保存,撮影制御方法,1,済,撮影計画ごとに作成した撮影制御方法をユーザー定義の撮影制御方法として名前を付けて保存できるようにしたら便利かも。,
,2026.05.31,バックグラウンド動作,撮影,3,未,撮影中はバックグラウンドで動作できるようにする。,
,2026.05.31,権限設定(カメラ使用),起動時,3,未,"カメラアクセスの権限が必要なので最初の起動時は権限許可を促す。
また、権限が無いまま撮影開始をおこなおうとした際には権限許可に行けるようにする。",
,2026.05.31,権限設定(バックグラウンドでのバッテリ使用の許可),撮影,3,未,"バックグラウンドでのバッテリ使用の許可も必要。
エッジ端末を使わない撮影計画を開始するときはこの権限を要求する。
許可されなければ開始できないようにする。",
,2026.05.31,撮影制御方法のかたまりが欲しい,撮影計画,1,済,"今は1つの撮影制御方法しか初期値として選べない。
撮影制御方法のセットを複数作りたい。
撮影制御方法のひな型という事か。
例えば日の出を撮るセット、海の夕日を撮るセット、雪山セットって感じ。",
,2026.05.31,同一機種のカメラを区別する方法,撮影計画,1,未,"カメラのメーカー、機種名だけでは判別できない。friendryNameを入れてもらわないと。
オンライン検索のときシリアルNo.も表示した方が良いかも。UUIDじゃわからんでしょ？",
,2026.06.01,スマートフォン時は動画自動生成機能,撮影計画,3,未,動画の自動生成をおこなえるようにする。,
,2026.06.01,WB自動,撮影計画,3,未,WBの自動調整できるようにする。,
,2026.06.01,外部カメラ時、設定を保存、復元,撮影,2,未,撮影開始時に今の設定を保存し撮影終了後に戻す。,
,2026.06.01,ファイル形式RAW、RAW+jpeg、jpeg選択,撮影,3,未,ファイル形式をアプリから指定できるようにする。,
,2026.06.08,横向き画面の検討,撮影計画,2,未,撮影時スマホはランドスケープで使う事が多い。そのため横向きの画面レイアウトも検討した方が良い。,
,2026.06.09,バックアップ単位,全体,3,未,要検討,
,2026.06.09,ファイル名称ルール決め,全体,3,未,要検討,
,2026.06.12,撮影計画が1つのみ,撮影計画,2,未,現状撮影計画が1つしかなく同時に複数台のカメラ制御ができない。保存しておいて切り替えることもできない。,
,2026.06.12,エッジからスマホに状況が伝わらない,エッジ,1,未,"今の撮影状況が分からない。エッジ側が撮影をやめてもスマホが撮影中のまま。
スマホから周期的に状況を尋ねる。",
,2026.06.13,エッジを介してスタートすると時間前でも始まる。,撮影,1,済,スマホはすぐに始まらない。動きが違うのがなぜだろう。共通部にあるはずなのに。構造から見直す。,時刻の設定が誤っていた様。
,2026.06.13,撮影制御方法の境目が露出設定が断絶している。,撮影,1,済,自動露出時の開始が自分の初期値から始めてしまう。前の露出設定からなめらかに変化していかない。,自動露出の開始時動作を明記した。
,2026.06.14,カメラの自動露出を使う設定,撮影制御方法,1,未,自動露出の時カメラのAv、Tvの自動露出を使う設定を選択できるようにする。,
,2026.06.14,夜間撮影が終わった後次の撮影制御方法まで前の設定が続く,撮影,1,済,"夜間撮影の終了時刻を過ぎて次の撮影制御方法が始まるまでの間夜間撮影が継続してしまう。
そのため白飛びしてしまう。
日中撮影の設定を入れるつもりだったが暗くなっていくときと明るくなっていく時の制御が違う。
要検討。夜間撮影に向かうときはリニア移行が入る。
夜間撮影が終わった後は目標の露出が無いからどうすればいいんだか。","夜間前移行、夜間後移行、を撮影制御方法として新設した。リニア移行はやめた。
夜間後移行は次の撮影制御方法の露出設定に近づいていくようにする。"
